City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Nanortalik,GL,60.1432,-45.2371,46.78,90,100,14.34,overcast clouds
106,New Norfolk,AU,-42.7826,147.0587,43.92,51,87,3.58,overcast clouds
107,High Level,CA,58.5169,-117.136,62.71,82,75,16.11,light intensity shower rain
108,Caravelas,BR,-17.7125,-39.2481,68.45,76,90,8.52,overcast clouds
109,Khatanga,RU,71.9667,102.5,57.29,57,24,9.04,few clouds
110,Qesarya,IL,32.5189,34.9046,82.99,81,9,8.86,clear sky
111,Santona,ES,43.4439,-3.4576,66.07,87,20,6.69,few clouds
112,Tanout,NE,14.9709,8.8879,83.48,57,10,22.95,clear sky
113,Port Alfred,ZA,-33.5906,26.891,58.87,73,60,10.38,broken clouds
114,Tasiilaq,GL,65.6145,-37.6368,39.99,95,100,10.11,light rain
115,Xapuri,BR,-10.6517,-68.5044,78.24,41,3,1.05,clear sky
116,Faanui,PF,-16.4833,-151.75,78.28,73,35,7.7,scattered clouds
117,Aginskoye,RU,51.1,114.53,61.03,92,76,10.58,broken clouds
118,Lerwick,GB,60.1545,-1.1494,57.2,93,93,17.81,overcast clouds
119,Dhidhdhoo,MV,6.8833,73.1,80.83,81,100,17.52,light rain
120,East London,ZA,-33.0153,27.9116,58.32,70,32,10.92,scattered clouds
121,Golden,US,39.7555,-105.2211,83.25,28,55,13.02,broken clouds
122,Luckenwalde,DE,52.0833,13.1667,66.13,85,100,8.01,overcast clouds
123,Castro,BR,-24.7911,-50.0119,53.76,81,44,4.94,scattered clouds
124,Plouzane,FR,48.3833,-4.6167,57.29,91,20,8.05,light rain
125,San Quintin,MX,30.4833,-115.95,71.62,70,4,10.6,clear sky
126,Port Lincoln,AU,-34.7333,135.8667,54.55,66,5,10.07,clear sky
127,Esperance,AU,-33.8667,121.9,57.97,73,100,9.1,overcast clouds
128,Buraydah,SA,26.326,43.975,88.25,15,48,5.93,scattered clouds
129,Henties Bay,NA,-22.116,14.2845,51.85,77,2,3.02,clear sky
130,Kibala,TD,9.1104,18.3463,70.74,97,99,2.51,overcast clouds
131,Berdyaush,RU,55.1619,59.1464,46.13,96,0,4.61,clear sky
132,Killybegs,IE,54.6333,-8.45,57.45,93,100,17.85,heavy intensity rain
133,Kamennomostskoye,RU,43.7372,43.0514,71.13,72,99,9.17,overcast clouds
134,Cape Town,ZA,-33.9258,18.4232,50.41,100,90,3.44,mist
135,Kaitangata,NZ,-46.2817,169.8464,44.13,59,99,6.82,overcast clouds
136,Kutum,SD,14.2,24.6667,74.37,64,89,11.1,overcast clouds
137,Pevek,RU,69.7008,170.3133,42.37,69,30,11.63,scattered clouds
138,Neverkino,RU,52.7854,46.7417,66.24,45,47,7.38,scattered clouds
139,Nome,US,64.5011,-165.4064,50.16,85,100,6.98,overcast clouds
140,The Valley,AI,18.217,-63.0578,82.81,72,5,16.11,clear sky
141,Bretigny-Sur-Orge,FR,48.6114,2.3059,61.43,88,0,1.01,clear sky
142,Misawa,JP,40.6836,141.3597,80.67,74,100,6.33,overcast clouds
143,Pocking,DE,48.4,13.3167,61.5,95,99,10.58,heavy intensity rain
144,Srivardhan,IN,18.0333,73.0167,78.67,85,50,4.45,scattered clouds
145,Langham,CA,52.3668,-106.9679,80.02,22,83,3.98,broken clouds
146,Shenkursk,RU,62.1091,42.896,56.5,62,100,6.51,overcast clouds
147,Bambanglipuro,ID,-7.95,110.2833,77.63,83,34,3.29,scattered clouds
148,Bengkulu,ID,-3.8004,102.2655,76.19,89,14,4.21,few clouds
149,Japura,ID,-0.3167,102.35,76.68,94,99,2.42,light rain
150,Magadan,RU,59.5667,150.8,62.19,64,55,2.53,broken clouds
151,Young,UY,-32.6833,-57.6333,68.23,82,1,7.45,clear sky
152,Saint-Leu,RE,-21.15,55.2833,67.03,66,22,2.1,few clouds
153,Kawalu,ID,-7.3817,108.2082,73.89,92,43,0.67,scattered clouds
154,Shingu,JP,33.7333,135.9833,84.9,57,13,6.49,few clouds
155,Kiruna,SE,67.8557,20.2251,45.52,81,40,3.44,scattered clouds
156,Erenhot,CN,43.6475,111.9767,77.13,33,100,12.03,light rain
157,Meadow Lake,US,34.8014,-106.5436,96.73,18,28,13.91,scattered clouds
158,Porto Novo,BJ,6.4965,2.6036,74.43,92,97,4.43,light rain
159,Menongue,AO,-14.6585,17.691,51.84,24,1,3.74,clear sky
160,Nizhniy Kuranakh,RU,58.8353,125.4869,68.88,66,31,7.4,scattered clouds
161,Puerto Carreno,CO,6.189,-67.4859,77.67,79,63,5.5,broken clouds
162,Fomboni,KM,-12.28,43.7425,76.01,65,0,4.79,clear sky
163,Souillac,MU,-20.5167,57.5167,69.37,94,40,3.44,scattered clouds
164,Aquiraz,BR,-3.9014,-38.3911,80.19,76,44,13.89,scattered clouds
165,Sur,OM,22.5667,59.5289,88.81,54,91,11.34,overcast clouds
166,Vangaindrano,MG,-23.35,47.6,62.24,93,8,4.54,clear sky
167,Avarua,CK,-21.2078,-159.775,78.85,65,29,8.05,scattered clouds
168,Sa Kaeo,TH,13.75,102.3333,77.13,93,100,7.76,overcast clouds
169,Upernavik,GL,72.7868,-56.1549,40.59,94,97,9.1,overcast clouds
170,Hithadhoo,MV,-0.6,73.0833,82.56,70,100,4.83,overcast clouds
171,Cabangahan,PH,9.0781,122.9469,82.94,79,99,5.12,heavy intensity rain
172,Antalaha,MG,-14.9003,50.2788,65.3,90,30,5.59,scattered clouds
173,Huaihua,CN,27.5494,109.9592,80.78,80,95,2.48,overcast clouds
174,Vyatskiye Polyany,RU,56.226,51.0656,55.02,93,72,3.02,broken clouds
175,Maragogi,BR,-9.0122,-35.2225,73.89,75,85,15.28,overcast clouds
176,Chadiza,ZM,-14.0678,32.4392,58.01,58,0,3.56,clear sky
177,Batagay-Alyta,RU,67.8006,130.4114,68.31,34,24,3.94,few clouds
178,La Asuncion,VE,11.0333,-63.8628,85.73,66,12,13.8,few clouds
179,Gebre Guracha,ET,9.8,38.4,49.93,90,47,1.52,scattered clouds
