City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Katsuura,JP,2021-08-02 17:15:25,35.1333,140.3,80.71,91,90,10.36
98,Broome,US,2021-08-02 17:17:32,42.2506,-75.833,74.7,56,75,3.0
99,Saskylakh,RU,2021-08-02 17:17:33,71.9167,114.0833,62.11,74,43,6.78
100,Busselton,AU,2021-08-02 17:17:33,-33.65,115.3333,45.05,74,91,5.44
101,Necochea,AR,2021-08-02 17:17:33,-38.5473,-58.7368,65.03,45,23,14.94
102,Merauke,ID,2021-08-02 17:17:34,-8.4667,140.3333,73.69,82,94,11.45
103,Prince Rupert,CA,2021-08-02 17:17:34,54.3161,-130.3201,59.09,82,90,3.44
104,Ribeira Grande,PT,2021-08-02 17:15:26,38.5167,-28.7,77.4,78,40,8.05
105,Los Algarrobos,PA,2021-08-02 17:17:35,8.5,-82.4333,88.45,70,40,5.75
106,Saint George,US,2021-08-02 17:15:45,37.1041,-113.5841,91.87,36,0,1.99
107,Port Shepstone,ZA,2021-08-02 17:17:35,-30.7414,30.455,62.38,79,97,10.47
108,Vallenar,CL,2021-08-02 17:17:36,-28.5708,-70.7581,76.14,25,0,3.94
109,Saint-Philippe,RE,2021-08-02 17:17:36,-21.3585,55.7679,67.21,75,47,5.5
110,Iroquois Falls,CA,2021-08-02 17:17:36,48.7669,-80.6831,68.14,45,65,11.61
111,Khandyga,RU,2021-08-02 17:17:36,62.6667,135.6,57.69,66,75,2.64
112,Lebu,CL,2021-08-02 17:14:59,-37.6167,-73.65,55.85,72,45,20.56
113,Tasiilaq,GL,2021-08-02 17:17:37,65.6145,-37.6368,46.56,81,100,2.46
114,Grindavik,IS,2021-08-02 17:15:33,63.8424,-22.4338,55.35,82,75,6.91
115,Laguna,US,2021-08-02 17:17:38,38.421,-121.4238,88.61,56,1,4.0
116,Deputatskiy,RU,2021-08-02 17:17:39,69.3,139.9,35.64,70,1,3.94
117,Khatanga,RU,2021-08-02 17:17:39,71.9667,102.5,62.96,65,98,10.16
118,Albany,US,2021-08-02 17:17:39,42.6001,-73.9662,75.16,63,26,1.99
119,Buchanan,LR,2021-08-02 17:17:40,5.8808,-10.0467,84.16,66,64,9.01
120,Lavrentiya,RU,2021-08-02 17:17:40,65.5833,-171.0,42.87,98,100,10.51
121,Kodiak,US,2021-08-02 17:16:17,57.79,-152.4072,53.11,94,90,8.05
122,Sitka,US,2021-08-02 17:17:40,57.0531,-135.33,62.49,72,75,3.44
123,Bonavista,CA,2021-08-02 17:17:41,48.6499,-53.1147,77.0,66,1,10.47
124,Yumen,CN,2021-08-02 17:16:48,40.2833,97.2,70.48,18,32,8.63
125,Teya,RU,2021-08-02 17:14:52,60.3778,92.6267,55.36,91,85,2.17
126,Ust-Tsilma,RU,2021-08-02 17:17:41,65.441,52.1498,58.46,93,92,1.79
127,Yenagoa,NG,2021-08-02 17:17:41,4.9247,6.2642,79.7,78,95,7.74
128,Novyy Urgal,RU,2021-08-02 17:17:42,51.0736,132.5642,64.89,98,100,2.26
129,Luderitz,NA,2021-08-02 17:17:42,-26.6481,15.1594,68.9,37,0,5.35
130,Wanning,CN,2021-08-02 17:17:42,18.8003,110.3967,80.8,82,100,7.34
131,Damietta,EG,2021-08-02 17:17:43,31.4165,31.8133,84.16,68,0,8.52
132,Bidar,IN,2021-08-02 17:17:43,17.9,77.55,76.53,71,90,16.6
133,Rock Hill,US,2021-08-02 17:17:44,34.9249,-81.0251,87.37,45,1,9.22
134,Poum,NC,2021-08-02 17:17:44,-20.2333,164.0167,67.39,65,6,8.84
135,Hamilton,US,2021-08-02 17:14:52,39.1834,-84.5333,78.4,58,75,1.99
136,Vila Velha,BR,2021-08-02 17:15:17,-20.3297,-40.2925,72.97,66,75,4.61
137,Opuwo,NA,2021-08-02 17:16:18,-18.0607,13.84,70.14,23,0,5.17
138,Marigot,MF,2021-08-02 17:17:44,18.0667,-63.0833,86.04,83,40,11.5
139,Kushiro,JP,2021-08-02 17:17:45,42.975,144.3747,68.67,99,97,1.99
140,Puerto Escondido,MX,2021-08-02 17:12:49,15.85,-97.0667,90.43,58,40,9.22
141,Port Elizabeth,ZA,2021-08-02 17:17:45,-33.918,25.5701,59.29,77,90,16.11
142,Sandwick,GB,2021-08-02 17:17:45,60.0,-1.25,53.42,76,75,9.22
143,Mastic Beach,US,2021-08-02 17:17:46,40.7668,-72.8521,80.02,61,40,4.0
144,Davila,PH,2021-08-02 17:17:46,18.4726,120.5763,81.18,89,100,25.64
145,Zhigansk,RU,2021-08-02 17:15:22,66.7697,123.3711,62.26,61,1,10.04
146,Vila,PT,2021-08-02 17:16:57,42.0304,-8.1588,70.34,62,56,6.11
147,Airai,TL,2021-08-02 17:15:19,-8.9266,125.4092,56.59,79,63,2.82
148,Sena Madureira,BR,2021-08-02 17:17:47,-9.0656,-68.6569,91.42,20,21,6.02
149,New Norfolk,AU,2021-08-02 17:17:47,-42.7826,147.0587,45.9,80,99,1.99
150,Nanortalik,GL,2021-08-02 17:15:28,60.1432,-45.2371,46.92,85,91,2.68
151,Blagoyevo,RU,2021-08-02 17:17:47,63.3667,47.9167,61.57,84,34,2.89
