City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
351,Beachwood,US,41.4645,-81.5087,69.6,89,40,4.61
352,Quatre Cocos,MU,-20.2078,57.7625,75.31,68,75,15.12
353,Znin,PL,52.8496,17.7199,75.04,41,44,12.48
354,Bubaque,GW,11.2833,-15.8333,80.04,74,62,14.03
355,Ilo,PE,-17.6394,-71.3375,59.14,83,58,4.99
356,Clyde River,CA,70.4692,-68.5914,35.83,100,90,13.8
357,Muravlenko,RU,63.7898,74.523,80.89,37,4,7.34
358,Vangaindrano,MG,-23.35,47.6,73.85,64,0,6.67
359,Kloulklubed,PW,7.0419,134.2556,77.5,85,100,5.68
360,Quijingue,BR,-10.7525,-39.2092,71.91,64,56,12.17
361,Brownsville,US,25.9018,-97.4975,79.92,90,1,4.61
362,Buraydah,SA,26.326,43.975,109.85,8,18,1.74
363,Joensuu,FI,62.6012,29.7632,71.28,46,0,11.99
364,Verkhnevilyuysk,RU,63.4453,120.3167,64.56,58,100,4.54
365,Nevsehir,TR,38.9167,34.6667,78.01,36,75,10.36
366,Monte Alegre,BR,-2.0078,-54.0692,78.64,58,13,4.65
367,Novyy Karachay,RU,43.8208,41.9032,86.13,47,86,6.93
368,Rorvik,NO,64.8621,11.2373,64.17,56,100,15.43
369,Lensk,RU,60.7253,114.9278,59.72,99,100,0.96
370,San Lorenzo,PY,-25.3333,-57.5333,68.94,56,0,8.05
371,Rio Grande,BR,-32.035,-52.0986,59.31,85,12,9.71
372,Ancud,CL,-41.8697,-73.8203,41.23,72,11,3.71
373,Torres,BR,-29.3353,-49.7269,69.82,81,45,8.28
374,Sechura,PE,-5.5569,-80.8222,62.35,89,19,10.27
375,Kiboga,UG,0.9161,31.7742,87.3,28,59,5.26
376,Ayan,RU,56.45,138.1667,53.6,83,59,6.6
377,Harbour Breton,CA,47.4833,-55.7983,62.35,99,100,14.18
378,Elizabeth City,US,36.2946,-76.2511,77.02,97,1,3.44
379,Tura,IN,25.5198,90.2201,76.14,95,100,4.68
380,Agua Verde,MX,22.9,-106.05,81.03,87,100,2.57
381,Manaure,CO,11.7751,-72.4445,81.41,73,67,16.02
382,Talnakh,RU,69.4865,88.3972,78.22,30,40,9.62
383,Mantua,IT,45.1667,10.7833,89.71,59,18,5.99
384,Kimbe,PG,-5.5502,150.1429,75.04,92,55,4.99
385,El Alto,PE,-4.2714,-81.2147,63.07,80,42,9.15
386,Vaitape,PF,-16.5167,-151.75,78.04,69,32,8.75
387,Glenwood Springs,US,39.5505,-107.3248,60.6,68,90,10.36
388,Santa Rosa,PH,14.3122,121.1114,85.98,80,51,10.47
389,Pitimbu,BR,-7.4706,-34.8086,77.59,73,85,19.37
390,Inhambane,MZ,-23.865,35.3833,80.58,57,20,8.88
391,Ontario,US,34.0633,-117.6509,75.42,71,20,3.44
392,Barranca,PE,-10.75,-77.7667,61.65,85,89,5.99
393,Katherine,AU,-14.4667,132.2667,62.92,36,13,6.91
394,Acarau,BR,-2.8856,-40.12,84.83,46,32,18.25
395,Canalete,CO,8.6761,-76.2042,74.61,93,93,4.81
396,Cosala,MX,24.4125,-106.6908,74.12,94,100,2.57
397,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,6.91
398,Sarkand,KZ,45.41,79.9186,83.17,19,90,9.8
399,Igreja Nova,BR,-10.1253,-36.6619,73.67,80,75,12.39
400,Disna,BY,55.568,28.1971,63.77,71,98,10.6
401,Jiaojiang,CN,28.6803,121.4428,77.59,85,92,8.66
402,Araria,IN,26.15,87.5167,84.7,82,96,5.73
403,Menongue,AO,-14.6585,17.691,85.1,8,0,8.75
404,Bantry,IE,51.6833,-9.45,62.08,71,57,23.04
405,Cabo San Lucas,MX,22.8909,-109.9124,79.14,81,82,10.42
406,Kavaratti,IN,10.5669,72.642,82.09,80,100,20.87
407,Chumikan,RU,54.7183,135.315,52.23,89,100,18.28
408,Airai,TL,-8.9266,125.4092,54.91,80,70,2.57
