Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Bo Phloi,TH,76.66,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
500,Oeiras Do Para,BR,78.04,scattered clouds,-2.0031,-49.8544,Araticu Soft Hotel
501,Manali,IN,86.09,scattered clouds,13.1667,80.2667,Sarathy Lodge
506,Scottsbluff,US,86.23,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
509,Outlook,CA,85.69,overcast clouds,51.5001,-107.0513,Red Wheel Motel
514,Narathiwat,TH,76.51,broken clouds,6.3333,101.75,MUSOR
516,Prescott,US,92.68,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
519,Ranot,TH,80.94,broken clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
528,San Carlos,VE,76.26,broken clouds,9.6612,-68.5827,Hotel Paternopoli
529,Krikellos,GR,77.05,clear sky,38.95,21.1833,Gabari Studios
531,Altus,US,98.11,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
537,Elat,IL,86.56,clear sky,29.5581,34.9482,Club Hotel Eilat
544,North Bend,US,75.92,fog,43.4065,-124.2243,Red Lion Hotel Coos Bay
546,Itarema,BR,80.42,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
548,Mulege,MX,90.77,scattered clouds,26.8833,-111.9833,Casa Granada
549,Palu,ID,81.55,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
550,Auburn,US,75.96,broken clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
551,Biak,ID,77.54,overcast clouds,-0.9131,122.8766,Penginapan Kim
554,Mogadishu,SO,76.01,overcast clouds,2.0371,45.3438,Hotel Juba
562,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
569,Eyl,SO,75.61,scattered clouds,7.9803,49.8164,Amiin Hotel
571,Ypsonas,CY,79.99,clear sky,34.6884,32.9574,Club Aphrodite
574,Souris,CA,92.62,clear sky,49.6172,-100.2612,The Souris Hotel
576,Majene,ID,78.19,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
582,Weligama,LK,77.77,overcast clouds,5.9667,80.4167,Weligama Bay Resort
584,Calabozo,VE,80.44,overcast clouds,8.9242,-67.4293,Hotel Giardini
585,Shenjiamen,CN,81.03,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
587,Sinnamary,GF,78.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
588,Acajutla,SV,82.02,broken clouds,13.5928,-89.8275,asi es
591,Mecca,SA,88.5,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
592,Nara,JP,83.48,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
593,Samarkand,UZ,77.74,clear sky,39.6542,66.9597,Ideal Hotel
596,Roblin,CA,87.93,overcast clouds,51.23,-101.3565,Harvest Moon Inn
597,Changde,CN,81.09,overcast clouds,29.0464,111.6783,Kangshida Hotel
598,San Policarpo,PH,84.34,overcast clouds,12.1791,125.5072,JM Lodge
599,Zaraza,VE,78.39,scattered clouds,9.3503,-65.3245,Hotel Zaraza
600,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
601,Anloga,GH,79.02,light rain,5.7947,0.8973,Pin Drop Hotel
602,Carutapera,BR,75.18,broken clouds,-1.195,-46.02,Lidera
606,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
608,Sorong,ID,78.3,overcast clouds,-0.8833,131.25,waigo splash hotel
611,Thiruvananthapuram,IN,76.98,mist,8.4833,76.9167,Hotel Residency Tower
615,Balad,IQ,94.28,clear sky,34.0164,44.1453,رضاوي زنوبة
620,Tateyama,JP,78.82,shower rain,34.9833,139.8667,Tateyama Seaside Hotel
624,Acapulco,MX,81.14,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
626,Pa Sang,TH,75.4,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
629,Cuyo,PH,84.24,overcast clouds,10.8525,121.0086,Feroland Hotel
630,San Jose,US,94.69,smoke,37.3394,-121.895,The Westin San Jose
631,Salinopolis,BR,79.02,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
634,Palma Di Montechiaro,IT,82.17,clear sky,37.1926,13.765,Daphnae House
635,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
637,Ariquemes,BR,78.3,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
641,Cockburn Town,TC,82.85,clear sky,21.4612,-71.1419,Osprey Beach Hotel
644,Shieli,KZ,80.33,few clouds,44.1667,66.75,Gostinitsa Aybek Shieli
647,Alyangula,AU,76.24,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
648,Ishigaki,JP,83.53,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
655,Nizwa,OM,89.98,broken clouds,22.9333,57.5333,Orient Apartments
657,Yangcun,CN,82.38,broken clouds,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
658,Zabid,YE,87.8,overcast clouds,14.1951,43.3152,دار الضيافة
663,Jiazi,CN,83.1,overcast clouds,22.8779,116.067,Hotel Jin Hao
664,Thessalon,CA,75.69,broken clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
666,Guerrero Negro,MX,77.41,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
667,Pascagoula,US,87.85,clear sky,30.3658,-88.5561,Regency Inn
670,Manjeshwar,IN,76.28,overcast clouds,12.7194,74.8861,SOOFINAGAR
